年份_Year,大區_District,選區編號_Constituency_code,選區名_Constituency_name_chi,該選區當選人_Candidate_name_chi,政治聯繫_Political_affiliation,所屬派別_Political_camp,獲票數_Count_of_votes,得票率_Percentage_of_votes_obtained(%),票選或自動當選_Elected_or_uncontested,該選區登記選民數_Count_of_registered_voter,該選區居民數_Count_of_resident
1999,元朗,M12,耀祐,梁志祥,民建聯,建,,,Uncontested,8565,19757
1999,元朗,M13,天耀,黃祥光,民建聯,建,,,Uncontested,8016,20046
1999,元朗,M14,瑞愛,郭強,民建聯,建,2793,89.29,Elected,6927,16791
1999,元朗,M15,天瑞,周永勤,,建,2601,83.58,Elected,7028,18047
1999,元朗,M16,嘉湖南,湛家雄,,建,,,Uncontested,5495,16182
1999,元朗,M17,嘉湖北,李月民,民建聯,建,1072,56.81,Elected,4027,18582
1999,元朗,M18,天慈,李錦文,民建聯,建,726,42.14,Elected,4004,12828
1999,元朗,M19,錦繡花園,邱帶娣,,其他,1285,61.75,Elected,6676,16353
1999,元朗,M20,新田,文祿星,,建,1422,55.96,Elected,5582,17221
1999,元朗,M21,錦田,鄧賀年,,建,875,54.35,Elected,3956,9175
1999,元朗,M22,八鄉北,鄧其達,,其他,946,52.32,Elected,3481,13565
1999,元朗,M23,八鄉南,曾憲強,,建,1389,50.4,Elected,4763,15156
2003,元朗,M01,豐年,黃彩媚,元天民陣,泛,1539,48.52,Elected,7391,17927
2003,元朗,M02,水邊,黃健榮,－,其他,,,Uncontested,8404,20833
2003,元朗,M03,南屏,黃偉賢,民主黨,泛,2085,80.19,Elected,6615,15967
2003,元朗,M04,北朗,陳兆基,民建聯,建,,,Uncontested,6528,15052
2003,元朗,M05,大橋,謝開秋,元天民陣,泛,1489,58.58,Elected,6714,20502
2003,元朗,M06,鳳翔,麥業成,元天民陣,泛,2022,74.86,Elected,6916,19771
2003,元朗,M07,十八鄉北,黃柏仁,－,建,1499,53.27,Elected,6705,21273
2003,元朗,M08,十八鄉南,林添福,－,建,1989,55.68,Elected,7663,20537
2003,元朗,M09,屏山南,黃勝棠,自由黨,建,921,39.51,Elected,5042,15836
2003,元朗,M10,屏山北,鄧慶業,－,建,1981,57.97,Elected,7135,20457
2003,元朗,M11,廈村,鄧家良,－,建,994,35.61,Elected,5140,14336
